                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1558,                 0.9355,                0.96068,                0.63556,                 0.3812,                0.35035,                0.23139,                 1.3575,                 1.7127,                 1.1041,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1704,                0.93279,                0.96728,                0.62441,                0.39031,                0.34071,                0.22144,                 1.4163,                 1.7417,                 1.1213,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.153,                0.93293,                0.96423,                0.68637,                0.35283,                0.36759,                0.23447,                 1.3966,                 1.7039,                 1.1099,               0.000656,               0.000656,               0.000656
                     50,                 1.1522,                0.92709,                0.96338,                0.67022,                0.35883,                0.37894,                0.25163,                  1.369,                 1.7218,                 1.1158,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1518,                 0.8979,                0.96384,                0.67028,                0.35097,                0.35722,                0.24139,                 1.3625,                 1.7699,                 1.1129,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1228,                0.88221,                0.95695,                0.70244,                0.36741,                0.35643,                 0.2425,                 1.3519,                 1.7217,                 1.1075,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1166,                 0.8754,                0.95893,                0.63877,                0.39609,                0.36178,                 0.2435,                 1.3449,                 1.7243,                 1.1031,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1125,                0.86899,                0.95143,                0.67061,                0.36878,                0.37179,                0.24709,                   1.37,                 1.7246,                 1.1004,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1122,                0.87189,                0.95074,                 0.6156,                 0.4014,                0.36913,                0.24389,                 1.3368,                 1.7206,                 1.0935,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1095,                0.86211,                0.95134,                0.65858,                0.36911,                0.36669,                0.24664,                 1.3454,                 1.7136,                 1.0987,             0.00056938,             0.00056938,             0.00056938
