                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.94232,                0.89538,                 1.3186,                0.74569,                0.28061,                0.25565,                0.17861,                 1.1875,                 1.7953,                 1.8059,             0.00049527,             0.00049527,             0.00049527
                     73,                0.91545,                0.88464,                 1.2974,                0.73689,                0.33995,                0.25795,                0.17792,                 1.1523,                 1.7026,                 1.7439,             0.00047876,             0.00047876,             0.00047876
                     74,                0.88844,                0.82316,                 1.2962,                0.74261,                0.29818,                0.24178,                0.16841,                 1.1827,                 1.9038,                 1.8279,             0.00046226,             0.00046226,             0.00046226
                     75,                0.90518,                0.87603,                 1.2957,                0.76567,                0.29592,                0.27855,                0.19755,                  1.166,                  1.591,                  1.786,             0.00044576,             0.00044576,             0.00044576
                     76,                0.87773,                 0.8322,                 1.2633,                0.75329,                0.29082,                0.25408,                0.17606,                 1.1791,                 1.8049,                 1.7935,             0.00042925,             0.00042925,             0.00042925
                     77,                0.86416,                0.82532,                 1.2461,                0.25309,                0.27551,                0.24224,                0.16809,                 1.2088,                 2.0471,                 1.8064,             0.00041275,             0.00041275,             0.00041275
                     78,                0.87159,                 0.8322,                 1.2443,                0.73629,                0.29592,                 0.2485,                0.17779,                 1.1249,                 1.8337,                 1.7401,             0.00039625,             0.00039625,             0.00039625
                     79,                0.88506,                0.82605,                 1.2594,                0.69587,                0.35714,                0.25343,                0.17816,                 1.1596,                 1.7359,                 1.7641,             0.00037974,             0.00037974,             0.00037974
                     80,                0.85261,                0.80624,                 1.2562,                0.74745,                0.31122,                0.26991,                0.18451,                 1.1844,                 1.7263,                 1.7942,             0.00036324,             0.00036324,             0.00036324
                     81,                0.87354,                0.82867,                 1.2679,                  0.721,                0.33673,                0.26647,                 0.1941,                 1.0899,                 1.6803,                 1.7051,             0.00034674,             0.00034674,             0.00034674
                     82,                0.83382,                0.76227,                  1.224,                0.74767,                0.30612,                0.26121,                0.18612,                 1.1389,                 1.6806,                 1.7436,             0.00033023,             0.00033023,             0.00033023
                     83,                0.84547,                 0.7736,                 1.2263,                0.77528,                0.27041,                0.25893,                0.18276,                  1.147,                 1.7567,                  1.757,             0.00031373,             0.00031373,             0.00031373
                     84,                0.83502,                0.78263,                  1.207,                0.73254,                0.30612,                0.25489,                0.17981,                 1.1781,                 1.8061,                 1.7752,             0.00029723,             0.00029723,             0.00029723
                     85,                  0.844,                0.78335,                 1.2305,                0.72533,                0.33673,                0.26004,                0.18913,                 1.1548,                 1.7455,                 1.7419,             0.00028072,             0.00028072,             0.00028072
                     86,                0.82771,                0.77482,                  1.239,                0.74062,                0.29819,                0.26732,                0.19009,                 1.2033,                 1.7804,                 1.8099,             0.00026422,             0.00026422,             0.00026422
                     87,                0.83641,                0.75558,                 1.2097,                0.76095,                0.28571,                0.27556,                0.19511,                 1.1736,                 1.7035,                 1.8044,             0.00024772,             0.00024772,             0.00024772
                     88,                0.80612,                0.78674,                 1.2217,                0.73474,                0.28571,                0.25438,                0.17538,                 1.1871,                 1.8673,                 1.8046,             0.00023121,             0.00023121,             0.00023121
                     89,                0.83132,                0.75322,                 1.2092,                0.75498,                0.29592,                0.25349,                0.18007,                 1.1911,                 1.8254,                 1.7891,             0.00021471,             0.00021471,             0.00021471
                     90,                0.81236,                 0.7617,                 1.2296,                0.73344,                0.31633,                0.26311,                0.18362,                 1.1591,                 1.7486,                 1.7528,             0.00019821,             0.00019821,             0.00019821
                     91,                0.78724,                0.77626,                 1.2543,                0.69706,                0.35204,                 0.2373,                0.16945,                 1.1792,                 1.8779,                 1.7293,              0.0001817,              0.0001817,              0.0001817
                     92,                0.75859,                0.70073,                 1.2168,                0.71256,                0.32653,                0.24445,                0.17579,                 1.1688,                  1.821,                 1.7277,              0.0001652,              0.0001652,              0.0001652
                     93,                0.76663,                0.67516,                 1.1916,                0.70448,                0.34694,                0.25719,                0.18379,                 1.1591,                 1.8752,                 1.7455,              0.0001487,              0.0001487,              0.0001487
                     94,                0.76001,                0.66406,                 1.2228,                0.72044,                0.33393,                0.25567,                0.17653,                  1.187,                 1.8265,                 1.7951,             0.00013219,             0.00013219,             0.00013219
                     95,                0.76422,                0.66472,                 1.2087,                0.73783,                0.33789,                0.25407,                0.18076,                 1.1676,                  1.786,                 1.7747,             0.00011569,             0.00011569,             0.00011569
                     96,                0.73912,                0.65771,                 1.1953,                0.73503,                 0.3349,                0.24831,                0.17127,                 1.1636,                 1.8265,                 1.7685,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.72421,                0.63063,                 1.1847,                0.74384,                0.30612,                0.24725,                0.17552,                 1.1436,                 1.7835,                 1.7526,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.74269,                0.65372,                 1.1853,                0.74536,                 0.2999,                0.24676,                0.17366,                 1.1334,                 1.7891,                 1.7369,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.71855,                0.61443,                 1.1495,                0.72912,                0.32653,                0.25085,                0.17659,                 1.1247,                 1.8196,                 1.7423,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.71747,                0.60945,                 1.1522,                 0.7574,                0.31122,                0.25508,                0.18021,                 1.1252,                 1.8104,                 1.7295,             3.3173e-05,             3.3173e-05,             3.3173e-05
